player,gameno,eff
Alaa_Abdelnaby_87,1,3
Alaa_Abdelnaby_87,3,17
Alaa_Abdelnaby_87,4,-2
Alaa_Abdelnaby_87,5,1
Alaa_Abdelnaby_87,6,1
Alaa_Abdelnaby_87,8,9
Alaa_Abdelnaby_87,9,12
Alaa_Abdelnaby_87,11,13
Alaa_Abdelnaby_87,12,5
Alaa_Abdelnaby_87,13,-2
Alaa_Abdelnaby_87,14,2
Alaa_Abdelnaby_87,15,3
Alaa_Abdelnaby_87,16,-2
Alaa_Abdelnaby_87,17,-2
Alaa_Abdelnaby_87,18,2
Alaa_Abdelnaby_87,19,2
Alaa_Abdelnaby_87,21,1
Alaa_Abdelnaby_87,22,9
Alaa_Abdelnaby_87,23,3
Alaa_Abdelnaby_87,24,4
Alaa_Abdelnaby_87,25,2
Alaa_Abdelnaby_87,26,3
Alaa_Abdelnaby_87,27,1
Alaa_Abdelnaby_87,28,16
Alaa_Abdelnaby_87,29,-1
Alaa_Abdelnaby_87,30,1
Alaa_Abdelnaby_87,31,2
Alaa_Abdelnaby_87,32,2
Alaa_Abdelnaby_87,33,3
Alaa_Abdelnaby_88,1,3
Alaa_Abdelnaby_88,2,6
Alaa_Abdelnaby_88,3,4
Alaa_Abdelnaby_88,4,13
Alaa_Abdelnaby_88,6,2
Alaa_Abdelnaby_88,7,-2
Alaa_Abdelnaby_88,8,8
Alaa_Abdelnaby_88,9,7
Alaa_Abdelnaby_88,10,4
Alaa_Abdelnaby_88,11,10
Alaa_Abdelnaby_88,12,7
Alaa_Abdelnaby_88,13,0
Alaa_Abdelnaby_88,14,4
Alaa_Abdelnaby_88,15,2
Alaa_Abdelnaby_88,16,8
Alaa_Abdelnaby_88,17,7
Alaa_Abdelnaby_88,18,2
Alaa_Abdelnaby_88,19,-1
Alaa_Abdelnaby_88,20,6
Alaa_Abdelnaby_88,21,6
Alaa_Abdelnaby_88,22,0
Alaa_Abdelnaby_88,23,-2
Alaa_Abdelnaby_88,24,3
Alaa_Abdelnaby_88,25,-2
Alaa_Abdelnaby_88,26,1
Alaa_Abdelnaby_88,27,0
Alaa_Abdelnaby_88,28,2
Alaa_Abdelnaby_88,29,13
Alaa_Abdelnaby_88,30,-3
Alaa_Abdelnaby_88,31,6
Alaa_Abdelnaby_88,32,15
Alaa_Abdelnaby_88,33,0
Alaa_Abdelnaby_88,34,3
Alaa_Abdelnaby_88,35,2
Alaa_Abdelnaby_89,1,2
Alaa_Abdelnaby_89,2,16
Alaa_Abdelnaby_89,3,26
